image-ID,cycle,z-step,frame,accum,photon-count,photon-count11,photon-count12,photon-count21,photon-count22,psfx,psfy,psfz,psf-photon-count,x,y,z,amp,background11,background12,background21,background22,chisq,particle-ID,vis-probe
1,0,1,1,2,1085.05,1,1,0,0,1,1,1,1,7887.02,37274.7,11239.2,1,1,1,1,0,0.151791,-1,0
1,0,1,1,2,1511.49,1,1,0,0,1,1,1,1,5380.08,39037.9,11472.7,1,1,1,1,0,0.128608,-1,0
2,0,1,2,3,1706.02,1,1,0,0,1,1,1,1,7865.2,37259.3,11158.1,1,1,1,1,0,0.121054,-1,0
3,0,1,3,2,1030.28,1,1,0,0,1,1,1,1,4807.31,40087.1,11517.3,1,1,1,1,0,0.155773,-1,0
4,0,1,4,2,1297.25,1,1,0,0,1,1,1,1,7302.13,36099.8,10764.2,1,1,1,1,0,0.138822,-1,0
4,0,1,4,2,1028.51,1,1,0,0,1,1,1,1,4814.53,40086.9,11570,1,1,1,1,0,0.155907,-1,0
4,0,1,4,2,847.866,1,1,0,0,1,1,1,1,3597.04,39870.7,11551.7,1,1,1,1,0,0.171714,-1,0
7,0,1,7,2,887.41,1,1,0,0,1,1,1,1,7863.88,37288,11106.3,1,1,1,1,0,0.167845,-1,0
7,0,1,7,2,695.116,1,1,0,0,1,1,1,1,3598.15,39882.5,11486.4,1,1,1,1,0,0.189645,-1,0
8,0,1,8,3,1893.21,1,1,0,0,1,1,1,1,7877.71,37250.6,11178.9,1,1,1,1,0,0.114913,-1,0
9,0,1,9,2,1102.36,1,1,0,0,1,1,1,1,7869.14,37280.7,11157.5,1,1,1,1,0,0.150594,-1,0
9,0,1,9,2,1165.32,1,1,0,0,1,1,1,1,6023,36621.9,11166.1,1,1,1,1,0,0.14647,-1,0
10,0,1,10,2,1391.5,1,1,0,0,1,1,1,1,7872.2,37262.1,11095,1,1,1,1,0,0.134038,-1,0
12,0,1,12,2,744.677,1,1,0,0,1,1,1,1,6754.85,40932.9,12098.1,1,1,1,1,0,0.183226,-1,0
13,0,1,13,2,1544.99,1,1,0,0,1,1,1,1,6705.79,36309.8,10849.7,1,1,1,1,0,0.127206,-1,0
13,0,1,13,2,1008.66,1,1,0,0,1,1,1,1,6040.99,36636.1,11132.7,1,1,1,1,0,0.157434,-1,0
13,0,1,13,2,1095.72,1,1,0,0,1,1,1,1,6736.77,40965.6,12118,1,1,1,1,0,0.15105,-1,0
14,0,1,14,2,739.925,1,1,0,0,1,1,1,1,9975.81,39906.5,11625.1,1,1,1,1,0,0.183813,-1,0
14,0,1,14,2,1102.31,1,1,0,0,1,1,1,1,6745.34,40956.9,12155.5,1,1,1,1,0,0.150597,-1,0
15,0,1,15,2,760.606,1,1,0,0,1,1,1,1,9966.56,39880.4,11546,1,1,1,1,0,0.181297,-1,0
15,0,1,15,2,996.094,1,1,0,0,1,1,1,1,6028.22,36615.1,11147.3,1,1,1,1,0,0.158424,-1,0
15,0,1,15,2,754.41,1,1,0,0,1,1,1,1,6731.88,40946.8,12097.5,1,1,1,1,0,0.18204,-1,0
16,0,1,16,3,979.843,1,1,0,0,1,1,1,1,10014.4,39891.1,11643.1,1,1,1,1,0,0.159732,-1,0
16,0,1,16,2,1284.43,1,1,0,0,1,1,1,1,6027.84,36626.3,11149,1,1,1,1,0,0.139513,-1,0
17,0,1,17,2,656.466,1,1,0,0,1,1,1,1,9982.89,39883.8,11692,1,1,1,1,0,0.195148,-1,0
17,0,1,17,2,1035.31,1,1,0,0,1,1,1,1,6043.11,36632,11118,1,1,1,1,0,0.155394,-1,0
17,0,1,17,2,817.854,1,1,0,0,1,1,1,1,6728.63,40947,12076,1,1,1,1,0,0.174837,-1,0
18,0,1,18,3,1054.64,1,1,0,0,1,1,1,1,9984.22,39886.8,11584.1,1,1,1,1,0,0.153964,-1,0
18,0,1,18,3,1637.04,1,1,0,0,1,1,1,1,6701.62,36316.2,10858.1,1,1,1,1,0,0.123578,-1,0
18,0,1,18,2,759.672,1,1,0,0,1,1,1,1,5857.5,37388.2,11299.3,1,1,1,1,0,0.181408,-1,0
19,0,1,19,2,733.333,1,1,0,0,1,1,1,1,9992.95,39907,11618.3,1,1,1,1,0,0.184637,-1,0
19,0,1,19,2,991.685,1,1,0,0,1,1,1,1,6172.67,40257.6,11796.6,1,1,1,1,0,0.158775,-1,0
19,0,1,19,2,885.27,1,1,0,0,1,1,1,1,6733.11,40961.7,12055.1,1,1,1,1,0,0.168048,-1,0
19,0,1,19,2,1430.48,1,1,0,0,1,1,1,1,4837.16,38669.3,11549.9,1,1,1,1,0,0.132199,-1,0
20,0,1,20,2,735.232,1,1,0,0,1,1,1,1,9996.25,39905.3,11656.5,1,1,1,1,0,0.184399,-1,0
20,0,1,20,3,1219.79,1,1,0,0,1,1,1,1,6716,40955.1,12002.1,1,1,1,1,0,0.143162,-1,0
20,0,1,20,2,1586.28,1,1,0,0,1,1,1,1,4845.44,38679.7,11563.4,1,1,1,1,0,0.12554,-1,0
21,0,1,21,2,818.926,1,1,0,0,1,1,1,1,6727.3,40952.1,12079.3,1,1,1,1,0,0.174722,-1,0
21,0,1,21,2,1455.99,1,1,0,0,1,1,1,1,4830.89,38685.9,11535.8,1,1,1,1,0,0.131036,-1,0
22,0,1,22,3,1295.96,1,1,0,0,1,1,1,1,6966.07,36623.9,11369.5,1,1,1,1,0,0.138891,-1,0
22,0,1,22,2,801.177,1,1,0,0,1,1,1,1,5846.84,37394.2,11369.3,1,1,1,1,0,0.176647,-1,0
22,0,1,22,2,1119.09,1,1,0,0,1,1,1,1,6725.26,40954.6,12131.1,1,1,1,1,0,0.149465,-1,0
22,0,1,22,3,2080.72,1,1,0,0,1,1,1,1,4835.73,38684.4,11593,1,1,1,1,0,0.109613,-1,0
23,0,1,23,2,1320.27,1,1,0,0,1,1,1,1,6975.44,36619,11288,1,1,1,1,0,0.137606,-1,0
23,0,1,23,2,918.196,1,1,0,0,1,1,1,1,6724.81,40958.9,12019.4,1,1,1,1,0,0.165007,-1,0
24,0,1,24,2,1268.88,1,1,0,0,1,1,1,1,6984.95,36627.3,11286.4,1,1,1,1,0,0.140365,-1,0
24,0,1,24,2,922.655,1,1,0,0,1,1,1,1,6716.77,40951.2,12062.6,1,1,1,1,0,0.164608,-1,0
24,0,1,24,2,1635.44,1,1,0,0,1,1,1,1,4833,38684.3,11544.7,1,1,1,1,0,0.123638,-1,0
25,0,1,25,2,1620.19,1,1,0,0,1,1,1,1,5022.62,36076.7,10235.7,1,1,1,1,0,0.124219,-1,0
25,0,1,25,2,919.512,1,1,0,0,1,1,1,1,6742.73,40948.7,12141.7,1,1,1,1,0,0.164889,-1,0
26,0,1,26,2,1374.23,1,1,0,0,1,1,1,1,5022.27,36072,10257.9,1,1,1,1,0,0.134878,-1,0
27,0,1,27,2,1026.57,1,1,0,0,1,1,1,1,6720.17,40960.1,11980.5,1,1,1,1,0,0.156054,-1,0
28,0,1,28,2,644.865,1,1,0,0,1,1,1,1,5648.34,39460.1,11828.3,1,1,1,1,0,0.196895,-1,0
29,0,1,29,2,1034.35,1,1,0,0,1,1,1,1,6722.35,40939.5,12072.6,1,1,1,1,0,0.155466,-1,0
31,0,1,31,3,1756.52,1,1,0,0,1,1,1,1,6105.17,36591.5,11090.4,1,1,1,1,0,0.119301,-1,0
32,0,1,32,2,1127.82,1,1,0,0,1,1,1,1,6124.7,36607.2,11127.8,1,1,1,1,0,0.148885,-1,0
36,0,1,36,2,1212.89,1,1,0,0,1,1,1,1,7431.62,38049.5,11468.2,1,1,1,1,0,0.143568,-1,0
37,0,1,37,2,1319.29,1,1,0,0,1,1,1,1,7427.41,38059.4,11494.9,1,1,1,1,0,0.137658,-1,0
42,0,1,42,2,798.568,1,1,0,0,1,1,1,1,9489.49,38144.1,11316.4,1,1,1,1,0,0.176935,-1,0
42,0,1,42,2,1331.26,1,1,0,0,1,1,1,1,4912.99,40834.2,11658.5,1,1,1,1,0,0.137037,-1,0
